path,dimensions,alt_text,source,approval_status
"visual-assets/editable-diagrams/canonical-architecture.svg","1600x900","Public surfaces, protected operations, one database","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/lead-journey.svg","1600x900","Durable capture before outbound delivery","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/wordpress-bridge.svg","1600x900","Form 3 only; held forms stay in WordPress","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/communication-permission-flow.svg","1600x900","Purpose-specific decisions fail closed","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/sequence-state-machine.svg","1600x900","Human approval and stop conditions are explicit","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/provider-event-flow.svg","1600x900","Signed, idempotent, payload-minimized","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/ai-intelligence-flow.svg","1600x900","Advisory output cannot mutate lead state","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/copilot-tool-flow.svg","1600x900","RBAC and object scope wrap every tool","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/failure-and-recovery.svg","1600x900","A failed notification never loses the lead","current-system-state.json","Approved internal evidence"
"visual-assets/editable-diagrams/form3-release-gate.svg","1600x900","One transactional message behind one reversible flag","current-system-state.json","Approved internal evidence"
"visual-assets/notification-visuals/internal-alert.svg","1600x900","Redacted internal lead alert","Phase 8 source","Preview only"
"visual-assets/notification-visuals/brandon-qa-message.svg","1600x900","Redacted brandon-only qa","Phase 8 source","Preview only"
"visual-assets/notification-visuals/consumer-acknowledgment.svg","1600x900","Redacted form 3 acknowledgment preview","Phase 8 source","Preview only"
"visual-assets/notification-visuals/plain-text-email.svg","1600x900","Redacted plain-text email","Phase 8 source","Preview only"
"visual-assets/notification-visuals/sms-preview.svg","1600x900","Redacted sms preview","Phase 8 source","Preview only"
"visual-assets/notification-visuals/push-preview.svg","1600x900","Redacted push preview","Phase 8 source","Preview only"
"visual-assets/notification-visuals/daily-digest.svg","1600x900","Redacted daily digest preview","Phase 8 source","Preview only"
"visual-assets/lead-states/lead-state-hot.svg","1600x900","Lead status HOT","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-active.svg","1600x900","Lead status ACTIVE","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-new.svg","1600x900","Lead status NEW","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-test.svg","1600x900","Lead status TEST","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-permission-blocked.svg","1600x900","Lead status PERMISSION BLOCKED","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-consent-ambiguous.svg","1600x900","Lead status CONSENT AMBIGUOUS","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-delivery-failed.svg","1600x900","Lead status DELIVERY FAILED","Phase 8 source","Approved component"
"visual-assets/lead-states/lead-state-sequence-paused.svg","1600x900","Lead status SEQUENCE PAUSED","Phase 8 source","Approved component"
